company_id,name,jp_url,category,description,link,salary,logo,location,CEO
99,에스케이브로드밴드(주),https://www.jobplanet.co.kr/companies/20626/info/%EC%97%90%EC%8A%A4%EC%BC%80%EC%9D%B4%EB%B8%8C%EB%A1%9C%EB%93%9C%EB%B0%B4%EB%93%9C?,IT/웹/통신,"에스케이브로드밴드(주)는 케이블 TV서비스 및 초고속 인터넷 서비스 사업 부문을 영위하는 기업. 자가망을 기반으로 안정적인 케이블 TV 서비스를 제공하고 있으며 하나로텔레콤(현SK브로드밴드)과 공동으로 시작한 초고속인터넷사업의 계약이 만료되어 현재 자가망으로 인터넷서비스하고 있음. 2012년 아날로그방송서비스가 종료됨에 따라 디지털방송서비스를 제공하기 위해 디지털미디어센터(DMC)를 구축하고 디지털방송서비스 제공하고 있음. 독점으로 제공하는 키즈채널 신설, MLB 실시간 중계 컨텐츠 확보 등 인기채널을 확충하여 차별화된 컨텐츠를 제공하고 있음",www.skbroadband.com,"5,745",https://jpassets.jobplanet.co.kr/production/uploads/company/logo/20626/thumb_64.jpg,서울 중구 퇴계로 24 남산그린빌딩,최진환
100,(주)제이슨그룹,https://www.jobplanet.co.kr/companies/91388/info/%EC%A0%9C%EC%9D%B4%EC%8A%A8%EA%B7%B8%EB%A3%B9?,IT/웹/통신,-,https://jasonproup.co.kr,"3,743",https://jpassets.jobplanet.co.kr/production/uploads/company/logo/91388/thumb_91388.JPG,"서울 용산구 서빙고로 17 센트럴파크타워 26층,27층",정진영
101,(주)와이드넷엔지니어링,https://www.jobplanet.co.kr/companies/90763/info/%EC%99%80%EC%9D%B4%EB%93%9C%EB%84%B7%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4%EB%A7%81?,IT/웹/통신,-,www.wneng.com,"3,090",https://jpassets.jobplanet.co.kr/production/uploads/company/logo/90763/thumb___________.png,서울 구로구 새말로18길 52 5층,이맹훈
102,베스핀글로벌(주),https://www.jobplanet.co.kr/companies/321646/info/%EB%B2%A0%EC%8A%A4%ED%95%80%EA%B8%80%EB%A1%9C%EB%B2%8C?,IT/웹/통신,"""HELPING YOU ADOPT CLOUD""
""Creating the World's Most Automated Cloud Management Company,
So That Every Enterprise Can Leverage the Power of Cloud IT""

1. Who we are? / Vision & Mission
- 저희 베스핀글로벌은 고객의 Cloud 전환을 돕는 아시아 No.1 Cloud MSP(Managed Service Provider)로서
""세상에서 가장 자동화된 클라우드 매니지먼트 회사를 만들자.
그래서 모든 기업들이 Cloud IT의 가치를 누릴 수 있게 만든다."" 라는 Vision과 Mission을 갖고 있습니다.

2. 구성원 / 기업문화
- 800명이 넘는 클라우드 전문가들로 구성된 저희 회사는,
성공적인 엑싯(Exit) 기록을 가진 경험 많은 창업가와 업계 최고의 베테랑들이 이끌고 있습니다.
(https://m.post.naver.com/viewer/postView.nhn?volumeNo=27614763&memberNo=39874958)

3. 성장
- 2015년 창립 이래, 매년 기록적인 성장을 하였으며,
지난 3년 동안 매년 거의 2배의 성장을 기록한 끝에 작년에는 약 900억의 매출을,
그리고 올해는 작년 대비 또 2배의 성장을 예상하고 있습니다.
그리고 베스핀글로벌이라는 로켓은,
저희가 자체 개발한 클라우드 관리 플랫폼 ""OpsNow""가 더욱 더 빠른 성장으로 이끌어 줄 것 입니다.

4. 최근 동향
- 2017년 가트너 매직 쿼드런트 퍼블릭 클라우드 MSP부문에 ""Niche"" 플레이어로 처음 등재된 저희는,
2018년 ""Niche"" / 2019년 ""Challengers"" 플레이어에 매년 등재된 끝에
2020년인 올해는 드디어 ""Leaders""에 등재되어 저희의 실행능력과 비전의 완성도를 인정 받았습니다.

최근 SK텔레콤이 중심이 된 900억원 규모의 시리즈C 투자를 받아 저희가 목표로 한 성장에 필요한 양분을 주입하였으며,
SK와의 5G 클라우드 사업, 신한금융그룹과의 금융/공공 클라우드 사업에 대한 제휴를 맺으며,
미래 먹거리에 대한 준비를 차질없이 해 나가고 있습니다.

5. 관련 영상 및 자료
1. Why Cloud? : https://youtu.be/H2va4KqYPSw
2. Why Bespin? : https://youtu.be/83v6d-SKTV8
3. B2B와 클라우드, 차세대 유니콘의 기회 : https://youtu.be/5Yasvt4MYV8
4. 베스핀글로벌의 기업문화 : https://blog.naver.com/rememberapp/221829326566",https://www.bespinglobal.com/,"5,155",https://jpassets.jobplanet.co.kr/production/uploads/company/logo/321646/thumb_%EB%B2%A0%EC%8A%A4%ED%95%80%20%EB%A1%9C%EA%B3%A0.jpg,"서울시 서초구 강남대로 327, 대륭서초타워 12F~16F","이해민, 이존한주"
103,엔에이치엔커머스(주),https://www.jobplanet.co.kr/companies/85569/info/%EC%97%94%EC%97%90%EC%9D%B4%EC%B9%98%EC%97%94%EC%BB%A4%EB%A8%B8%EC%8A%A4?,IT/웹/통신,"NHN COMMERCE는 NHN의 커머스 자회사로 쇼핑몰 기획, 개발, 디자인, 마케팅, 유통에 이르는 모든 서비스를 제공하고 있습니다. 한국, 중국, 일본 그리고 미국에 이르기까지 '글로벌 이커머스 에코시스템'을 NHN COMMERCE가 만들어 갑니다.

주요 서비스
1) 사진 몇 장으로 만드는 내 손 안의 쇼핑몰 – shop by
2) 처음부터 끝까지 1:1 서비스 – 해드림서비스",https://www.nhn-commerce.com/company/main.gd,"3,899",https://jpassets.jobplanet.co.kr/production/uploads/company/logo/85569/thumb_NHN%20COMMERCE_Basic.png,"서울 구로구 디지털로 26길 72, NHN COMMERCE",이윤식
104,(주)한글과컴퓨터,https://www.jobplanet.co.kr/companies/48511/info/%ED%95%9C%EA%B8%80%EA%B3%BC%EC%BB%B4%ED%93%A8%ED%84%B0?,IT/웹/통신,"한글과컴퓨터는 1990년 한국의 자랑스러운 문화유산인 '한글'을 '컴퓨터'에서 온전히 구현하자는 열정으로 아래아한글을시작으로 오피스 소프트웨어, 통번역 솔루션, 클라우드 기반 플랫폼 서비스 등 다양한 제품과 서비스로 고객 생산성을 향상하는 소프트웨어를 전 세계 시장에 선보이고 있습니다.

또한 신제품 개발, 해외 진출, 사업다각화, M&A를 지속해 문서작성, 임베디드, 보안, 모바일 포렌식 등 특화된 소프트웨어들간의 시너지를 통한 한컴그룹 주축으로 빠르게 성장하고 있습니다.",www.hancom.com,"5,184",https://jpassets.jobplanet.co.kr/production/uploads/company/logo/48511/thumb_%E1%84%92%E1%85%A1%E1%86%AB%E1%84%8F%E1%85%A5%E1%86%B7%E1%84%85%E1%85%A9%E1%84%80%E1%85%A9.png,"경기 성남시 분당구 대왕판교로644번길 49, 10층","변성준, 김연수"
105,오픈타이드코리아(주),https://www.jobplanet.co.kr/companies/62227/info/%EC%98%A4%ED%94%88%ED%83%80%EC%9D%B4%EB%93%9C%EC%BD%94%EB%A6%AC%EC%95%84?,IT/웹/통신,-,www.opentide.com,"4,216",https://jpassets.jobplanet.co.kr/production/uploads/company/logo/62227/thumb_________.jpg,"서울 강남구 테헤란로 203, 4층 (역삼동,서울인터내셔널타워)",오규봉
106,(주)오토소프트,https://www.jobplanet.co.kr/companies/206538/info/%EC%98%A4%ED%86%A0%EC%86%8C%ED%94%84%ED%8A%B8?,IT/웹/통신,"오토소프트트는 현대모비스의 연구개발본부의 협력사로서 자동차용 전장제품 소프트웨어 검증 및 개발지원을 주산업으로 하는 기업입니다.
전장제품 소프트웨어의 안정성과 신뢰성 확보를 위한 검증뿐만 아니라 차종 개발 소프트웨어 설계를 동시에 수행할 수 있는우수한 경쟁력을 확보한 기업입니다.

오토소프는 ""Case by case, Step by step, Brick by brick"" 이라는 경영철학을 바탕으로 속력보다 방향성과 정확성을 우선하는 업무문화를 조성하여 차량용 전장 소프트웨어의 안정성을 확보하고 있습니다.
지속적으로 직무 전문성을 강화하여 업무의 효율과 정확성을 높이고, 전직원의 고용안정을 통해 직원들이 업무에 집중할 수 있는 근무환경을 조성하여 향후 다가올 4차 산업시대에 자동차 산업의 한 축을 담당할 수 있도록 최선을 다하고 있습니다.",https://blog.naver.com/autosoft2012,"3,005",https://jpassets.jobplanet.co.kr/production/uploads/company/logo/206538/thumb_ddsfsdafsadf.png,경기도 용인시 수지구 디지털벨리로81,이남용
107,(주)써스포,https://www.jobplanet.co.kr/companies/69467/info/%EC%8D%A8%EC%8A%A4%ED%8F%AC?,IT/웹/통신,-,www.sus4.co.kr,"2,976",https://jpassets.jobplanet.co.kr/production/uploads/company/logo/69467/thumb_%EC%88%98%EC%B6%9C%EB%B0%94%EC%9A%B0%EC%B2%98%20540x370%20%EB%A1%9C%EA%B3%A0%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg,"서울특별시 강남구 논현로79길 47, 3층(역삼동, 열린기술 빌딩)",강창호
108,(주)클래스101,https://www.jobplanet.co.kr/companies/344239/info/%ED%81%B4%EB%9E%98%EC%8A%A4101?,IT/웹/통신,"클래스101은 '모두가 사랑하는 일을 하며 살 수 있도록'이라는 비전을 가진 팀입니다.

불과 한 세대 전까지만 해도 '가죽 공예를 하면서 살겠다.' , '뜨개질을 하면서 살겠다' 라고 하면 아무도 믿지 않았습니다. 혹은 자신이 사랑하는 일을 하고 싶다는 사람들에게 ""그게 돈이 돼?"" ,""그걸로 어떻게 먹고 살려고해?"" 라는 이야기를 했습니다.
우리는 사람들이 자신이 사랑하는 일을 하면서도 멋지게 살 수 있는 세상을 만들고 싶습니다. 한 명이 '가죽공예를 하면서 살거야""라고 하면 다른 한 명이 ""그래? 나는 꽃꽂이를 하면서 살거야""라고 말하는 세상을 꿈꿉니다.

2018년 3월, 준비물까지 챙겨주는 온라인 클래스 플랫폼을 만들었습니다.
예를 들어서 가죽공예 클래스를 결제했다고 하면, 클래스를 수강하는데 필요한 키트들을 집으로 보내드립니다.
온라인으로 클래스를 들으며 나만의 가죽제품을 만들 수 있습니다.
2021년 1월 기준, 3년 안되는 기간동안 약 1,200여개 클래스를 오픈했고 2,400만명의 방문자가 다녀갔습니다. 크리에이터분들이 사랑하는 일을 하실 수 있도록 약 340억원을 정산해드렸습니다. 취미를 넘어서 커리어, 재테크, B2B등의 다양한 카테고리로 확장하여 온라인 클래스 플랫폼 국내 1등을 차지했습니다. 이 과정에서 좋은 동료들이 함께 하게 되었고,현재 290여명이 모여있습니다.

우리는 지구 1등 온라인 클래스 플랫폼이 되고 싶습니다. 미국과 일본시장에서 순항 중에 있지만, 다양한 국가의 크리에이터분들과 수강생들(클래스메이트)에게 닿고 싶습니다. 그래서 더 많은 크리에이터분들이 클래스를 열고, 자신이 사랑하는 일을 하면서도 멋지게 살아가는 모습을 보여주고 싶습니다. 그리고 더 많은 클래스메이트들이 클래스를 통해서 꿈꾸기만 했던 자신이 사랑하는 일을 시작할 수 있기를 바랍니다.

이 목표를 달성하기 위해서 착하고, 똑똑하고, 야망있는 더 많은 착똑야들과 함께 하고 싶습니다. 우리와 함께 세상을 바꿔보는 건 어떨까요?",class101.net,"4,521",https://jpassets.jobplanet.co.kr/production/uploads/company/logo/344239/thumb_Untitled.png,서울 강남구 테헤란로 302,공대선
